Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/fleet/state [validate],CatchResponseError('Fleet total 24 < expected min 26: writes may not be reaching the DB'),1,2026-06-17T02:48:14Z,2026-06-17T02:48:14Z
GET,/fleet/state [validate],CatchResponseError('Fleet total 30 < expected min 49: writes may not be reaching the DB'),1,2026-06-17T02:48:19Z,2026-06-17T02:48:19Z
GET,/fleet/state [validate],CatchResponseError('Fleet total 11 < expected min 14: writes may not be reaching the DB'),1,2026-06-17T02:48:12Z,2026-06-17T02:48:12Z
GET,/fleet/state [validate],CatchResponseError('Fleet total 43 < expected min 50: writes may not be reaching the DB'),3,2026-06-17T02:48:26Z,2026-06-17T02:48:27Z
GET,/fleet/state [validate],CatchResponseError('Fleet total 27 < expected min 28: writes may not be reaching the DB'),1,2026-06-17T02:48:14Z,2026-06-17T02:48:14Z
GET,/fleet/state [validate],CatchResponseError('Fleet total 44 < expected min 50: writes may not be reaching the DB'),5,2026-06-17T02:48:30Z,2026-06-17T02:48:31Z
GET,/fleet/state [validate],CatchResponseError('Fleet total 48 < expected min 49: writes may not be reaching the DB'),2,2026-06-17T02:48:17Z,2026-06-17T02:48:17Z
GET,/fleet/state [validate],CatchResponseError('Fleet total 14 < expected min 17: writes may not be reaching the DB'),1,2026-06-17T02:48:13Z,2026-06-17T02:48:13Z
GET,/fleet/state [validate],CatchResponseError('Fleet total 42 < expected min 50: writes may not be reaching the DB'),2,2026-06-17T02:48:25Z,2026-06-17T02:48:26Z
GET,/fleet/state [validate],CatchResponseError('Fleet total 37 < expected min 50: writes may not be reaching the DB'),3,2026-06-17T02:48:21Z,2026-06-17T02:48:22Z
GET,/fleet/state [validate],CatchResponseError('Fleet total 40 < expected min 50: writes may not be reaching the DB'),2,2026-06-17T02:48:23Z,2026-06-17T02:48:23Z
GET,/fleet/state [validate],CatchResponseError('Fleet total 22 < expected min 25: writes may not be reaching the DB'),2,2026-06-17T02:48:14Z,2026-06-17T02:48:14Z
GET,/fleet/state [validate],CatchResponseError('Fleet total 41 < expected min 50: writes may not be reaching the DB'),1,2026-06-17T02:48:24Z,2026-06-17T02:48:24Z
GET,/fleet/state [validate],CatchResponseError('Fleet total 9 < expected min 38: writes may not be reaching the DB'),2,2026-06-17T02:48:15Z,2026-06-17T02:48:15Z
GET,/fleet/state [validate],CatchResponseError('Fleet total 49 < expected min 50: writes may not be reaching the DB'),3,2026-06-17T02:48:40Z,2026-06-17T02:48:40Z
GET,/fleet/state [validate],CatchResponseError('Fleet total 46 < expected min 50: writes may not be reaching the DB'),8,2026-06-17T02:48:32Z,2026-06-17T02:48:38Z
GET,/fleet/state [validate],CatchResponseError('Fleet total 48 < expected min 50: writes may not be reaching the DB'),1,2026-06-17T02:48:39Z,2026-06-17T02:48:39Z
GET,/fleet/state [validate],CatchResponseError('Fleet total 37 < expected min 38: writes may not be reaching the DB'),2,2026-06-17T02:48:15Z,2026-06-17T02:48:15Z
GET,/fleet/state [validate],CatchResponseError('Fleet total 46 < expected min 48: writes may not be reaching the DB'),2,2026-06-17T02:48:17Z,2026-06-17T02:48:17Z
GET,/fleet/state [validate],CatchResponseError('Fleet total 34 < expected min 50: writes may not be reaching the DB'),1,2026-06-17T02:48:20Z,2026-06-17T02:48:20Z
GET,/fleet/state [validate],CatchResponseError('Fleet total 47 < expected min 49: writes may not be reaching the DB'),2,2026-06-17T02:48:17Z,2026-06-17T02:48:17Z
GET,/fleet/state [validate],CatchResponseError('Fleet total 32 < expected min 50: writes may not be reaching the DB'),1,2026-06-17T02:48:19Z,2026-06-17T02:48:19Z
GET,/fleet/state [validate],CatchResponseError('Fleet total 44 < expected min 47: writes may not be reaching the DB'),1,2026-06-17T02:48:16Z,2026-06-17T02:48:16Z
GET,/fleet/state [validate],CatchResponseError('Fleet total 45 < expected min 47: writes may not be reaching the DB'),6,2026-06-17T02:48:16Z,2026-06-17T02:48:17Z
GET,/fleet/state [validate],CatchResponseError('Fleet total 1 < expected min 2: writes may not be reaching the DB'),1,2026-06-17T02:48:11Z,2026-06-17T02:48:11Z
GET,/fleet/state [validate],CatchResponseError('Fleet total 39 < expected min 50: writes may not be reaching the DB'),1,2026-06-17T02:48:23Z,2026-06-17T02:48:23Z
GET,/fleet/state [validate],CatchResponseError('Fleet total 38 < expected min 41: writes may not be reaching the DB'),1,2026-06-17T02:48:15Z,2026-06-17T02:48:15Z
GET,/fleet/state [validate],CatchResponseError('Fleet total 29 < expected min 30: writes may not be reaching the DB'),1,2026-06-17T02:48:14Z,2026-06-17T02:48:14Z
GET,/fleet/state [validate],CatchResponseError('Fleet total 6 < expected min 7: writes may not be reaching the DB'),2,2026-06-17T02:48:12Z,2026-06-17T02:48:12Z
GET,/fleet/state [validate],CatchResponseError('Fleet total 19 < expected min 22: writes may not be reaching the DB'),1,2026-06-17T02:48:13Z,2026-06-17T02:48:13Z
