Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781664491,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781664492,10,,Aggregated,0.000000,0.000000,68,92,110,140,160,160,160,160,160,160,160,13,3,68,76.73243599968443,5.795909000880783,159.4708789998549,117.38461538461539
1781664493,20,,Aggregated,0.000000,0.000000,42,68,72,100,140,160,160,160,160,160,160,33,5,42,54.40819333318469,4.170856998825911,159.4708789998549,173.63636363636363
1781664494,30,,Aggregated,6.000000,1.000000,32,47,67,72,130,150,160,180,180,180,180,65,10,32,44.17165199993178,3.8258610002230853,181.6288820009504,148.4
1781664495,40,,Aggregated,10.500000,2.000000,13,42,60,72,130,160,180,210,220,220,220,102,15,12,42.97812911763864,3.8258610002230853,215.24939200025983,126.98039215686275
1781664496,50,,Aggregated,14.666667,2.000000,12,39,50,64,100,150,180,210,220,220,220,145,22,12,37.01325057948546,3.8258610002230853,215.24939200025983,114.70344827586207
1781664497,50,,Aggregated,18.500000,2.750000,12,21,42,48,92,130,170,210,220,220,220,196,29,12,31.71067896947738,3.7123100009921473,215.24939200025983,114.10204081632654
1781664498,50,,Aggregated,22.800000,3.200000,12,16,33,42,72,130,160,180,220,220,220,233,29,12,28.482409781247252,3.7123100009921473,215.24939200025983,109.93991416309012
1781664499,50,,Aggregated,24.833333,3.666667,11,15,28,39,68,110,160,180,220,220,220,271,31,11,26.33398046508005,3.5212640032113995,215.24939200025983,103.30627306273063
1781664500,50,,Aggregated,28.428571,4.142857,12,18,31,40,64,110,160,180,270,270,270,319,32,12,27.236463235268136,3.5212640032113995,272.39715500036255,94.86520376175548
1781664501,50,,Aggregated,29.375000,3.625000,12,18,28,35,58,100,160,180,270,270,270,354,33,12,25.973122573649135,3.5212640032113995,272.39715500036255,101.32485875706215
1781664502,50,,Aggregated,30.666667,3.444444,13,18,28,33,56,100,160,180,270,270,270,396,35,13,25.61199193450643,3.5212640032113995,272.39715500036255,100.80555555555556
1781664503,50,,Aggregated,32.200000,3.200000,13,18,25,31,52,92,150,170,270,270,270,437,37,13,24.66640977133135,3.5212640032113995,272.39715500036255,101.31121281464532
1781664504,50,,Aggregated,35.100000,3.200000,12,16,23,30,51,84,140,170,270,270,270,472,39,12,23.489747582763073,3.5212640032113995,272.39715500036255,107.99788135593221
1781664505,50,,Aggregated,37.900000,3.100000,12,16,21,28,49,74,130,160,270,270,270,510,40,12,22.38889696092491,3.5212640032113995,272.39715500036255,106.84117647058824
1781664506,50,,Aggregated,39.600000,3.200000,12,15,20,25,47,72,130,160,270,270,270,557,43,12,21.507047605166523,3.5212640032113995,272.39715500036255,105.4326750448833
1781664507,50,,Aggregated,40.200000,2.800000,11,15,20,25,47,72,130,160,270,270,270,594,44,11,21.235741718984517,3.5212640032113995,272.39715500036255,105.97811447811448
1781664508,50,,Aggregated,40.100000,2.400000,11,14,18,23,45,70,130,160,270,270,270,633,44,11,20.48431895589366,3.4246820032421965,272.39715500036255,108.87519747235388
1781664509,50,,Aggregated,41.200000,2.100000,11,14,18,22,43,67,120,160,270,270,270,679,44,11,19.87912452736676,3.4246820032421965,272.39715500036255,108.50662739322533
1781664510,50,,Aggregated,39.600000,1.500000,11,14,18,21,42,64,110,160,270,270,270,713,46,11,19.41590477990898,3.4246820032421965,272.39715500036255,106.82608695652173
1781664511,50,,Aggregated,40.100000,1.500000,11,14,17,20,41,63,110,160,270,270,270,751,49,11,18.92779651941325,3.4246820032421965,272.39715500036255,103.65512649800266
1781664512,50,,Aggregated,40.600000,1.300000,11,13,17,20,39,60,110,160,270,270,270,789,50,11,18.497263959554047,3.4246820032421965,272.39715500036255,102.76299112801014
1781664513,50,,Aggregated,39.500000,1.500000,10,13,16,19,37,58,110,150,270,270,270,829,51,10,18.015348871033293,3.355426000780426,272.39715500036255,101.9481302774427
1781664514,50,,Aggregated,39.600000,1.600000,10,13,15,18,34,56,110,150,270,270,270,872,54,10,17.555078873948506,3.355426000780426,272.39715500036255,104.4151376146789
1781664515,50,,Aggregated,39.200000,1.500000,10,13,15,18,33,54,100,140,270,270,270,911,54,10,17.349677399642275,3.355426000780426,272.39715500036255,102.50933040614709
1781664516,50,,Aggregated,39.300000,1.300000,10,13,15,18,32,52,100,140,270,270,270,950,54,10,17.02592994640566,3.355426000780426,272.39715500036255,105.48526315789474
